identity,emotion,sentence_id,vc_system,lipsync_system,output_video,lse_c,lse_d,avsu,avsm,lmd,ssim,cpbd,wavlm_sim,mel_sim,wer
Jordi,neutral,c02,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Jordi_neutral_c02.mp4,0.358724575268953,0.5680706562278363,0.0779808253947657,0.022100217166911726,3.4211295414374283,0.8929805878872961,146.4403891940407,0.9660157561302185,0.3014791011810303,0.0
Jordi,emotional,c01,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Jordi_emotional_c01.mp4,0.4292976305867093,0.4994629952351285,0.16825276927274885,0.031101082795421592,5.264860643004791,0.892136060102318,145.94911854466795,0.9473406076431274,0.3842907249927521,0.16666666666666666
Jordi,emotional,c02,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Jordi_emotional_c02.mp4,0.26274330927282824,0.6641248566125991,-0.09193900641671676,0.0015456678495854304,3.8409699270480773,0.8900733945101443,162.65595391743682,0.936773955821991,0.41880056262016296,0.0
Lisset,neutral,c01,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Lisset_neutral_c01.mp4,0.2629707098629371,0.6804074543491745,-0.004384531651240376,0.01371975626130062,3.2383867028980724,0.9151163961105704,69.92773433542708,0.9787701368331909,0.07053794711828232,0.25
Lisset,neutral,c02,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Lisset_neutral_c02.mp4,0.4536426484328683,0.47805867900338916,-0.04725441680431836,5.404386379782855e-05,2.930980978647212,0.9186122273325369,76.87700921074334,0.9773285388946533,0.07835561037063599,0.125
Lisset,emotional,c01,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Lisset_emotional_c01.mp4,0.5486648943388184,0.30159386048853987,-0.08024840288632246,0.002176951962485185,2.8131689144350966,0.9206053187432447,40.37376681408678,0.9514949321746826,0.2065449357032776,0.6666666666666666
Lisset,emotional,c02,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Lisset_emotional_c02.mp4,0.38727711555367345,0.42415109290389363,0.03783021836282712,0.03707331756572902,2.609745622728048,0.9220088017657947,48.8439322086619,0.9749314188957214,0.34257271885871887,0.0
Maisa,neutral,c01,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Maisa_neutral_c01.mp4,0.4892756291080704,0.34735643961870366,-0.17666275556753172,0.02284103413290231,2.1841621359616594,0.9386864040227224,96.12748853804231,0.9507395625114441,0.24293240904808044,0.0
Maisa,neutral,c02,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Maisa_neutral_c02.mp4,0.401114431483366,0.4995107972159306,0.29538380186299595,0.5463783038511656,2.1628677308520032,0.9440185710739224,90.54657039061775,0.8665631413459778,0.12772956490516663,0.3333333333333333
Maisa,emotional,c01,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Maisa_emotional_c01.mp4,0.47447181343371503,0.45102462331603355,-0.004357438811201114,0.05180160643735613,3.2591184399600817,0.9270864223089107,154.9914467362623,0.7532309293746948,0.22607548534870148,1.3333333333333333
Maisa,emotional,c02,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Maisa_emotional_c02.mp4,0.42893052899126427,0.5245155958502541,0.30212416877972137,0.019276109076045378,3.102805949607129,0.9222777220860426,147.9914215333834,0.8568659424781799,0.06110108643770218,2.0
Selene,neutral,c01,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Selene_neutral_c01.mp4,0.4812701661763318,0.443188513193018,0.06318536895140567,0.013372121834035591,2.821950913314767,0.9427389717689193,85.89098397856228,0.9560421705245972,0.19087131321430206,1.0
Selene,neutral,c02,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Selene_neutral_c02.mp4,0.27767909220257203,0.6771642777862508,0.012209915886654587,0.019938912920588855,2.990064773562445,0.9400803948917165,78.56217735051793,0.860741913318634,0.11202181130647659,0.5
Selene,emotional,c01,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Selene_emotional_c01.mp4,0.3472001561430557,0.5656905542064674,-0.23534419695831918,0.06582196742031252,3.049247464002346,0.9371695222103018,98.4373796862693,0.9146053791046143,0.177812859416008,2.6666666666666665
Selene,emotional,c02,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Selene_emotional_c02.mp4,0.2825343660755586,0.6781389014592538,-0.13766776591887842,0.011891264337158175,3.7256662542886647,0.9336552292455091,104.12972474504286,0.9246657490730286,0.13119912147521973,0.0
George,neutral,c01,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/George_neutral_c01.mp4,0.5195258558011604,0.3742442683432725,0.10970890601767534,0.015909231366496843,3.4089640389672886,0.9323301594601292,36.47114432696632,0.8750602006912231,0.5112237334251404,nan
George,neutral,c02,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/George_neutral_c02.mp4,0.4378862835596593,0.4873289517968751,-0.0007275540484593722,0.01630233648600345,3.071066619508854,0.9332724195791429,36.72202612026876,0.9669695496559143,0.3901534676551819,0.2857142857142857
George,emotional,c01,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/George_emotional_c01.mp4,0.5675393348378468,0.326077790460335,0.05723457535982394,0.0012957637853943382,6.167042874707446,0.9238791333601212,32.82215537720765,0.8695167899131775,0.3196968734264374,0.0
George,emotional,c02,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/George_emotional_c02.mp4,0.7399042143989722,0.17626572929673268,0.014032798038976543,0.18663194375576564,5.249153800677525,0.9209456617125523,34.133931503097365,0.9302463531494141,0.14181366562843323,0.16666666666666666
Jordi,neutral,c01,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Jordi_neutral_c01.mp4,0.23141203136842659,0.6700545561994351,0.07335927646659839,0.0143175852299917,3.4108789655602103,0.8965633931611375,147.34744946413642,0.9628235697746277,0.20819628238677979,0.0
Jordi,neutral,c02,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Jordi_neutral_c02.mp4,0.34667057388168654,0.5758423652028791,-0.0019956457527164025,0.058412765184534664,3.488652422147183,0.8931709926631035,146.38595442825275,0.9417586326599121,0.32497841119766235,0.0
Jordi,emotional,c01,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Jordi_emotional_c01.mp4,0.504741044444425,0.4286505192114062,0.1574197774323689,0.020340601869339836,5.203584242772175,0.8922057172450717,146.0690432837161,0.9474449753761292,0.3582930564880371,0.5
Jordi,emotional,c02,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Jordi_emotional_c02.mp4,0.2358811093043959,0.6898517818630576,-0.09300903302843959,0.0006215792945481469,3.8546734083605987,0.8899138271199446,162.1643117084699,0.9460114240646362,0.34759607911109924,0.16666666666666666
Lisset,neutral,c01,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Lisset_neutral_c01.mp4,0.2819126907943795,0.6596203250533621,-0.0012476844054399305,0.010673682841199192,3.0627668794690637,0.9155020392044192,69.60995872192758,0.9691296219825745,0.16078108549118042,1.0
Lisset,neutral,c02,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Lisset_neutral_c02.mp4,0.455429568539016,0.46980371435577784,-0.08116687982971564,0.03398931450940439,2.9636922547962565,0.9186655835265727,77.60887521779239,0.9747670292854309,0.12574201822280884,0.125
